"#","Reference","Qty","Value","Footprint","DNP"
"1","10k1, 10k2, 10k3, 10k4","4","Varistor","Library 自作:3362P",""
"2","Brd1","1","SSD1306","Library 自作:128x64OLED2",""
"3","C1, C2","2","C","Library 自作:capacitor 3mm",""
"4","J1, J2, J3, J4","4","Conn_01x02_Pin","Library 自作:2pin",""
"5","R1, R3, R4, R5, R7, R10, R11, R12","8","10k","Resistor_SMD:R_0805_2012Metric",""
"6","R2, R6, R8, R9","4","R","Resistor_SMD:R_0805_2012Metric",""
"7","SW1","1","RotaryEncoder","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",""
"8","SW2","1","SW_SPDT_321","Library 自作:SS12D00G3",""
"9","SW3, SW4, SW5, SW6","4","SW_Push","keyboard:Kailh_Choc_V1",""
"10","SW7","1","SW_Push","keyboard:SW_PUSH_6x3mm",""
"11","U1","1","ProMicro","keyboard:ProMicro",""
"12","U2, U3","2","LM358N/NOPB","Library opeanpu:NJR-SOP8_NJR",""
